  PID TTY          TIME CMD
1 ? 0:0:3 init
2 ? 0:0:0 kthreadd
3 ? 0:0:0 ksoftirqd/0
4 ? 0:0:0 kworker/0:0
5 ? 0:0:0 kworker/0:0H
6 ? 0:0:0 kworker/u2:0
7 ? 0:0:0 rcu_sched
8 ? 0:0:0 rcu_bh
9 ? 0:0:0 migration/0
10 ? 0:0:0 watchdog/0
11 ? 0:0:0 khelper
12 ? 0:0:0 kdevtmpfs
13 ? 0:0:0 netns
14 ? 0:0:0 perf
15 ? 0:0:0 khungtaskd
16 ? 0:0:0 writeback
17 ? 0:0:0 ksmd
18 ? 0:0:0 khugepaged
19 ? 0:0:0 crypto
20 ? 0:0:0 kintegrityd
21 ? 0:0:0 bioset
22 ? 0:0:0 kblockd
23 ? 0:0:0 ata_sff
24 ? 0:0:0 md
25 ? 0:0:0 devfreq_wq
26 ? 0:0:0 kworker/u2:1
27 ? 0:0:0 kworker/0:1
29 ? 0:0:0 kswapd0
30 ? 0:0:0 fsnotify_mark
31 ? 0:0:0 ecryptfs-kthrea
43 ? 0:0:0 kthrotld
44 ? 0:0:0 acpi_thermal_pm
45 ? 0:0:0 scsi_eh_0
46 ? 0:0:0 scsi_tmf_0
47 ? 0:0:0 scsi_eh_1
48 ? 0:0:0 scsi_tmf_1
49 ? 0:0:0 kworker/u2:2
50 ? 0:0:0 kworker/u2:3
51 ? 0:0:0 ipv6_addrconf
70 ? 0:0:0 deferwq
71 ? 0:0:0 charger_manager
72 ? 0:0:0 kworker/u2:4
117 ? 0:0:0 kworker/0:2
120 ? 0:0:0 scsi_eh_2
121 ? 0:0:0 scsi_tmf_2
122 ? 0:0:0 scsi_eh_3
123 ? 0:0:0 scsi_tmf_3
124 ? 0:0:0 scsi_eh_4
125 ? 0:0:0 scsi_tmf_4
126 ? 0:0:0 kpsmoused
127 ? 0:0:0 kworker/0:3
129 ? 0:0:0 kworker/u2:5
139 ? 0:0:0 jbd2/sda1-8
140 ? 0:0:0 ext4-rsv-conver
173 ? 0:0:0 kworker/0:1H
268 ? 0:0:0 upstart-udev-br
273 ? 0:0:0 systemd-udevd
440 ? 0:0:0 upstart-socket-
447 ? 0:0:0 dhclient
602 ? 0:0:0 dbus-daemon
616 ? 0:0:0 upstart-file-br
619 ? 0:0:0 rsyslogd
682 ? 0:0:0 systemd-logind
739 tty4 0:0:0 getty
744 tty5 0:0:0 getty
748 tty2 0:0:0 getty
749 tty3 0:0:0 getty
751 tty6 0:0:0 getty
788 ? 0:0:0 acpid
816 ? 0:0:0 atd
817 ? 0:0:0 cron
901 tty1 0:0:0 login
924 ? 0:0:0 kauditd
971 tty1 0:0:0 bash
999 tty1 0:0:0 a.out
